Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
Goda Group,43,743,166.69,177.62,1,-0.61,0,0.0,0.0
Trivedi Group,30,346,351.26,325.85,0,-0.2,0,0.0,0.0
Nazareth and Sons,19,357,43.84,39.68,0,-0.65,0,0.0,0.0
"Apte, Biswas and Sehgal",1,395,276.87,398.68,1,0.11,0,0.0,0.0
"Chacko, Zachariah and Mutti",22,546,28.62,29.0,0,-0.81,0,0.0,0.0
"Bhat, Oza and Dhar",30,752,239.72,220.44,0,-0.2,1,38.97,9.24
Mishra-Halder,5,399,27.43,16.12,0,-0.67,0,0.0,0.0
Balay-Devan,24,635,323.0,292.41,0,0.29,1,40.4,9.82
Chakrabarti Ltd,43,567,196.12,214.21,0,-0.96,0,0.0,0.0
"Bhalla, Dhingra and Thaker",35,389,162.89,174.13,0,0.39,0,0.0,0.0
Deep and Sons,45,374,439.35,460.01,1,0.61,0,0.0,0.0
Jha-Mody,49,398,209.25,307.68,2,-0.14,0,0.0,0.0
Ravi-Savant,13,578,378.5,253.88,0,0.79,0,0.0,0.0
"Bhakta, Bhagat and Bir",49,695,479.48,512.77,0,-0.01,1,62.69,9.53
"Buch, Dhawan and Dash",5,398,303.21,306.47,0,0.86,0,0.0,0.0
Buch LLC,39,697,277.02,273.78,0,0.52,1,44.91,9.52
Mand-Tiwari,38,818,215.92,203.94,0,-0.53,0,0.0,0.0
"Sarraf, Purohit and Konda",8,795,432.25,465.13,0,0.42,1,81.42,9.03
Sheth LLC,44,481,354.02,336.23,0,0.14,0,0.0,0.0
"Kakar, Issac and Madan",20,775,384.76,409.6,0,-0.04,1,55.83,9.12
Rout LLC,33,416,481.8,332.91,0,0.99,0,0.0,0.0
Virk-Joshi,37,526,349.23,319.58,10,0.39,0,0.0,0.0
Dhaliwal Group,3,770,27.5,26.3,0,-0.45,1,3.8,10.65
De-Sangha,26,615,293.91,269.09,0,-0.38,1,42.55,9.93
"Mistry, Dasgupta and Golla",28,857,42.72,67.95,0,0.75,0,0.0,0.0
"Mani, Varughese and Sahota",45,304,18.05,17.6,0,-0.24,0,0.0,0.0
"Chawla, Ganesan and Chatterjee",22,760,36.44,33.06,0,0.07,1,6.28,9.2
Grewal-Dugar,3,736,294.65,307.98,0,-0.5,1,44.7,10.82
"Pau, Oza and Maharaj",4,745,439.72,462.32,0,-0.05,1,89.22,10.78
Behl Group,12,353,484.15,444.3,0,0.57,0,0.0,0.0
Seth-Mital,14,877,403.5,436.03,0,0.11,1,67.6,8.62
"Sekhon, Narang and Mukherjee",34,607,275.99,273.28,0,0.59,1,36.11,9.96
Dar-Soni,17,629,385.61,352.16,0,0.16,1,45.32,9.86
Magar-Dhaliwal,47,482,294.46,288.59,0,0.75,0,0.0,0.0
Bhatt PLC,27,392,486.69,496.61,0,-0.94,0,0.0,0.0
"Kothari, Rajagopal and Chander",6,812,269.54,261.78,0,-0.82,0,0.0,0.0
Keer Ltd,47,420,345.45,346.26,2,-0.83,0,0.0,0.0
"Kala, Panchal and Oommen",35,552,493.2,496.81,0,0.44,0,0.0,0.0
Naik-Edwin,26,825,78.13,72.4,0,0.73,1,12.31,8.88
Bora-Gala,15,491,138.28,134.89,0,-0.76,0,0.0,0.0
Dara-Oza,17,824,298.83,309.53,0,0.17,1,63.63,8.88
"Hans, Batra and Kuruvilla",49,894,192.49,186.23,0,-0.34,1,45.02,8.53
Pal and Sons,22,576,80.67,76.57,0,0.79,0,0.0,0.0
Nayar-Choudhry,3,542,14.03,14.58,2,-0.99,0,0.0,0.0
Sarraf Group,49,803,362.83,386.11,1,-0.59,0,0.0,0.0
Dar-Rana,26,417,356.92,335.47,1,-0.83,0,0.0,0.0
"Grover, Apte and Deshpande",11,810,243.16,244.74,0,0.98,1,40.14,8.95
"Suresh, Gola and Sankar",2,895,131.05,135.81,0,-0.3,1,32.81,10.03
"Balakrishnan, Pai and Loyal",44,633,466.8,695.35,1,-0.9,0,0.0,0.0
Chaudhry-Mannan,29,528,104.81,97.76,0,-0.28,0,0.0,0.0
Babu PLC,45,341,199.26,211.88,0,0.5,0,0.0,0.0
Bali-Sengupta,15,444,450.29,439.83,0,0.88,0,0.0,0.0
Tak-Pradhan,7,478,170.78,158.46,2,0.58,0,0.0,0.0
"Bail, Deshmukh and Chada",38,740,159.3,151.29,1,0.75,1,22.91,9.3
Saini-Ben,38,458,192.52,190.86,0,-0.18,0,0.0,0.0
"Pant, Chaudhuri and Soni",45,429,11.04,11.26,1,0.92,0,0.0,0.0
Bansal-Khanna,40,849,117.54,188.94,0,-0.8,0,0.0,0.0
Magar-Minhas,33,759,55.6,60.26,1,-0.25,1,7.97,9.21
Goda Inc,29,761,467.51,634.23,1,-0.75,0,0.0,0.0
Badami LLC,1,866,117.56,120.1,1,0.21,1,18.65,10.17
"Raman, D’Alia and Puri",25,374,461.87,458.7,0,0.83,0,0.0,0.0
Ganesan-Golla,24,324,251.69,247.61,0,-0.97,0,0.0,0.0
"Chatterjee, Bhardwaj and Dalal",21,348,93.13,101.72,10,0.0,0,0.0,0.0
Kata Ltd,1,440,201.67,198.72,0,-0.24,0,0.0,0.0
"Mahal, Bava and Doshi",16,723,295.79,283.61,0,-0.01,1,51.61,9.38
Vohra-Kapur,4,563,431.58,470.09,0,-0.95,0,0.0,0.0
Bahri-Arya,28,477,434.16,426.17,0,0.19,0,0.0,0.0
"Mittal, Ghose and Trivedi",47,528,93.38,96.23,1,0.71,0,0.0,0.0
"Nath, Gill and Ray",43,751,472.48,438.56,0,0.47,1,85.93,9.24
Ganguly Ltd,48,680,438.84,451.38,0,0.65,1,63.54,9.6
"Murthy, Natarajan and Kala",12,831,313.95,308.26,3,0.53,0,0.0,0.0
Bhatia-Varkey,24,892,434.89,433.8,0,-0.46,1,87.78,8.54
Johal-Bains,45,580,132.65,123.08,0,-0.46,0,0.0,0.0
"Singhal, Pathak and Singhal",11,445,267.18,284.02,0,0.44,0,0.0,0.0
"Palla, Naik and Memon",42,641,72.76,78.58,0,-0.65,0,0.0,0.0
Apte and Sons,45,700,212.29,207.33,1,-0.83,0,0.0,0.0
Uppal Inc,36,670,126.45,123.65,0,0.13,1,18.19,9.65
Venkatesh Ltd,47,705,367.62,346.66,0,-0.01,1,56.94,9.47
Varkey-Din,34,500,386.6,356.18,0,-0.13,0,0.0,0.0
Sankaran-Murty,39,430,43.49,39.16,0,0.61,0,0.0,0.0
Ramesh-Tata,49,316,475.37,216.55,1,0.61,0,0.0,0.0
Seshadri-Deshmukh,23,784,347.68,371.96,5,0.89,0,0.0,0.0
Bera LLC,47,587,354.26,561.14,0,0.39,0,0.0,0.0
Gill-Parmer,9,797,213.77,226.4,0,0.29,1,43.11,9.02
"Jani, Borra and Wable",24,487,243.13,261.85,0,0.61,0,0.0,0.0
Tata-Sidhu,4,648,332.52,184.9,0,-0.08,0,0.0,0.0
Mallick PLC,34,713,5.12,4.8,0,-0.89,0,0.0,0.0
"Garde, Sheth and Hari",49,776,23.61,23.51,0,-0.33,1,4.1,9.12
Ganesan-Khosla,1,302,236.32,226.73,0,0.82,0,0.0,0.0
Sankar Ltd,15,884,59.19,57.91,0,0.18,1,14.12,8.58
Pillai Ltd,46,643,236.36,241.72,3,0.3,0,0.0,0.0
"Hayre, Chada and Sabharwal",45,665,119.18,111.47,0,-0.88,0,0.0,0.0
Agate PLC,47,820,464.24,510.19,0,-0.69,0,0.0,0.0
Sami Ltd,32,419,375.2,340.3,0,-0.45,0,0.0,0.0
Reddy-Lall,29,494,478.05,512.67,0,-0.18,0,0.0,0.0
Biswas PLC,15,337,133.58,139.55,0,-0.85,0,0.0,0.0
Bhavsar Group,17,413,250.1,249.13,0,0.13,0,0.0,0.0
"Sura, Ahuja and Sehgal",45,588,439.92,262.87,1,0.67,0,0.0,0.0
"Malhotra, Parikh and Bajwa",25,469,57.39,99.91,0,0.76,0,0.0,0.0
Amble-Om,42,693,410.87,388.57,1,-0.48,1,50.66,9.54
Din-Keer,13,345,166.58,168.57,1,-0.74,0,0.0,0.0
Murthy Inc,19,713,14.12,13.93,1,0.58,1,1.85,9.44
Shere-Dugar,36,541,473.91,442.29,0,-0.85,0,0.0,0.0
"Bandi, Sastry and Mangal",18,605,495.12,512.55,0,-0.87,0,0.0,0.0
Walla-Shan,33,378,410.3,389.99,3,-0.8,0,0.0,0.0
"Nagar, Tandon and Agate",41,338,265.88,283.21,0,-0.74,0,0.0,0.0
Pillai-Verma,3,681,79.77,78.69,0,-0.45,1,14.79,11.1
Borde LLC,1,869,447.58,423.41,0,0.73,1,80.67,10.15
Apte-Mohanty,8,359,96.84,61.3,1,0.25,0,0.0,0.0
Doctor and Sons,44,835,460.82,471.57,0,0.37,1,84.45,8.82
Nori Inc,38,800,138.15,146.37,0,-0.22,1,25.76,9.0
Rajagopal-Pradhan,31,465,149.37,155.19,0,-0.79,0,0.0,0.0
Sagar-Dixit,17,887,493.4,458.12,0,-0.98,0,0.0,0.0
Pant and Sons,33,301,269.45,290.06,0,0.95,0,0.0,0.0
Parikh-Barad,26,421,401.29,377.22,1,-0.94,0,0.0,0.0
Dhingra-Lal,6,372,30.73,30.98,1,-0.32,0,0.0,0.0
Muni-Lal,7,758,447.93,452.19,0,0.46,1,60.24,9.21
Narayanan-Magar,12,386,326.9,325.55,1,0.74,0,0.0,0.0
Basak Ltd,32,606,85.03,76.88,0,-0.84,0,0.0,0.0
Gara-Mukherjee,35,744,40.74,19.45,1,0.49,0,0.0,0.0
"Pandey, Dugal and Warrior",20,815,369.0,388.76,0,-0.94,0,0.0,0.0
"Chaudry, Choudhary and Hora",34,811,305.06,496.49,0,-0.28,0,0.0,0.0
Lall-Bansal,3,536,235.58,251.41,0,0.27,0,0.0,0.0
"Vaidya, Bhasin and Kamdar",14,633,258.74,254.24,0,0.19,1,37.18,9.84
Nadig-Krishnamurthy,20,429,52.15,25.74,0,0.18,0,0.0,0.0
"Batta, Bains and Divan",12,600,122.33,115.84,0,0.34,1,12.71,10.0
Chawla-Jani,5,575,296.0,322.56,0,-0.29,0,0.0,0.0
"Nigam, Chawla and Choudhury",12,464,391.99,408.09,0,-0.93,0,0.0,0.0
Ramanathan LLC,14,810,119.41,108.7,0,-0.79,0,0.0,0.0
"Pandey, Sura and Lad",14,311,78.43,102.15,0,0.74,0,0.0,0.0
Nayak-Hans,31,483,260.22,259.64,0,0.41,0,0.0,0.0
"Nagar, Dani and Loyal",42,674,85.38,80.06,3,-0.49,0,0.0,0.0
Bumb-Viswanathan,1,610,489.42,198.34,2,0.54,0,0.0,0.0
Madan Group,27,644,346.32,358.55,0,-0.79,0,0.0,0.0
Kunda Inc,28,874,488.7,479.6,1,0.76,1,88.68,8.63
Sastry Group,46,318,404.88,258.86,0,0.09,0,0.0,0.0
Saha-Chawla,25,364,186.4,182.53,0,-0.25,0,0.0,0.0
Sathe-Padmanabhan,44,401,41.23,42.08,0,0.73,0,0.0,0.0
"Upadhyay, Patil and Kumer",48,749,242.2,219.22,0,0.07,1,38.46,9.26
Peri Inc,48,642,407.43,425.2,0,0.29,1,72.73,9.79
Bal Group,25,350,34.83,37.86,0,-0.43,0,0.0,0.0
Shroff and Sons,27,455,271.88,261.62,0,-0.76,0,0.0,0.0
Pandya-Mohan,11,562,342.15,320.35,0,-0.49,0,0.0,0.0
"Bala, Sen and Salvi",36,383,244.36,259.31,3,0.2,0,0.0,0.0
"Barad, Saini and Ranganathan",21,519,117.9,68.77,2,-0.29,0,0.0,0.0
Wali and Sons,26,592,154.52,101.27,1,-0.7,0,0.0,0.0
Padmanabhan-Dara,5,860,369.75,396.58,0,0.21,1,77.56,10.2
Saran Inc,10,889,317.85,289.78,0,-0.11,1,55.7,8.55
Sangha Inc,41,758,495.67,458.83,0,-0.84,0,0.0,0.0
"Bhavsar, Chatterjee and Taneja",40,652,299.9,293.97,0,0.66,1,46.2,9.74
Kalla-Natarajan,44,838,321.88,307.15,0,-0.62,0,0.0,0.0
"Ramanathan, Sampath and Chaudhry",2,471,332.61,336.45,0,0.92,0,0.0,0.0
Mann Inc,13,776,346.55,325.82,1,-0.3,1,60.82,9.12
"Kari, Taneja and Keer",20,814,463.95,638.49,2,0.08,0,0.0,0.0
Saran Group,30,448,51.0,48.52,0,-0.68,0,0.0,0.0
Sodhi-Sangha,14,780,117.54,113.82,0,0.65,1,17.56,9.1
Pall-Dubey,26,495,437.3,407.72,0,0.0,0,0.0,0.0
"Cheema, Patla and Palla",49,341,272.17,279.13,0,-0.58,0,0.0,0.0
Divan LLC,14,372,164.65,232.45,0,0.87,0,0.0,0.0
"Panchal, Goda and Gara",2,552,431.7,468.2,0,0.01,0,0.0,0.0
Memon and Sons,41,324,334.82,309.49,0,0.55,0,0.0,0.0
"Gera, Bala and Biswas",32,391,159.35,159.55,0,0.24,0,0.0,0.0
D’Alia-Atwal,23,766,196.3,198.83,1,0.24,1,30.42,9.17
Mital-Shetty,23,382,89.48,81.87,0,0.24,0,0.0,0.0
Kala-Kapoor,4,851,407.92,417.32,0,-0.74,0,0.0,0.0
"Chaudry, Wali and Doctor",35,818,265.12,395.97,0,-0.73,0,0.0,0.0
Mody-Bir,21,545,396.22,402.73,0,0.67,0,0.0,0.0
Kara Group,45,512,103.43,94.42,0,-0.0,0,0.0,0.0
"Agarwal, Loke and Memon",26,809,79.27,76.49,0,-0.08,1,15.71,8.96
Barad-Dugar,13,404,55.56,57.32,0,0.86,0,0.0,0.0
Kaur LLC,40,583,320.41,330.62,0,0.04,0,0.0,0.0
"Chandra, Brar and Kunda",19,880,370.03,370.93,1,-0.86,0,0.0,0.0
"Tara, Raj and Kuruvilla",24,782,10.99,11.99,0,0.55,1,2.25,9.09
Balan-Wason,28,862,91.18,83.86,0,-0.84,0,0.0,0.0
Hora-Sandal,28,636,151.25,159.39,0,0.23,1,25.62,9.82
Dayal Group,41,516,267.5,242.99,5,0.2,0,0.0,0.0
"Nadkarni, Barad and Choudhry",32,650,262.78,268.9,0,-0.81,0,0.0,0.0
"Tailor, Nadig and Deep",40,423,197.38,184.1,0,-0.97,0,0.0,0.0
"Chatterjee, Palla and Gupta",21,421,408.89,438.44,1,-0.08,0,0.0,0.0
Mandal Ltd,8,601,365.6,385.81,5,0.87,0,0.0,0.0
"Sem, Din and Varughese",29,765,58.43,60.6,0,-0.32,1,9.86,9.18
Nazareth-Rana,37,652,256.64,146.16,0,0.52,0,0.0,0.0
"Pandit, Vyas and Bedi",47,435,233.47,388.31,0,-0.2,0,0.0,0.0
Dass-Gala,42,790,158.91,166.61,0,0.08,1,29.6,9.05
Kuruvilla-Kumar,42,613,22.48,23.58,0,-0.7,0,0.0,0.0
Bal and Sons,6,510,498.19,266.32,0,-0.22,0,0.0,0.0
Bath-Bali,21,704,19.39,18.1,2,0.02,1,3.15,9.48
Saini-Apte,37,635,116.59,121.32,0,-0.95,0,0.0,0.0
"Kannan, Sangha and Loke",19,618,43.14,39.33,1,0.03,1,5.24,9.91
Khosla-Mann,36,649,167.46,165.25,1,1.0,1,28.99,9.75
Halder PLC,45,460,213.52,219.34,1,-0.23,0,0.0,0.0
Sura Group,9,699,105.45,106.83,0,0.17,1,18.23,9.5
Kata LLC,45,862,470.64,248.92,0,0.61,0,0.0,0.0
Agarwal LLC,10,560,354.48,621.03,1,-0.99,0,0.0,0.0
"Lad, Kar and Pandit",41,481,116.49,107.9,0,-0.43,0,0.0,0.0
Narayan LLC,42,713,22.96,38.88,0,-0.14,0,0.0,0.0
"Naidu, Rajagopal and Bava",25,504,137.73,128.26,0,-0.31,0,0.0,0.0
Nadkarni-Zacharia,33,818,47.78,45.26,2,-0.21,1,9.58,8.91
"Bajwa, Chahal and Shah",14,612,249.77,273.73,0,-0.38,1,45.55,9.94
Hayre and Sons,12,744,61.48,28.75,0,0.05,0,0.0,0.0
"Pandya, Krish and Sarraf",34,327,362.79,331.42,0,-0.03,0,0.0,0.0
Mand-Ratti,21,816,473.12,506.24,0,0.09,1,71.71,8.92
"Johal, Ram and Sridhar",40,593,404.17,400.88,0,-0.67,0,0.0,0.0
"Acharya, Devan and Mammen",4,513,13.88,12.84,3,0.12,0,0.0,0.0
"Mand, Bora and De",28,325,281.2,284.15,0,0.6,0,0.0,0.0
"Lad, Bains and Magar",39,735,228.59,223.9,0,-0.81,0,0.0,0.0
Sur-Chaudhari,28,596,290.91,435.78,0,-0.68,0,0.0,0.0
Rastogi-Som,20,753,397.66,383.09,5,-0.72,0,0.0,0.0
Kurian-Din,1,819,447.52,461.33,0,0.76,1,96.71,10.4
"Magar, Narula and Raju",46,315,494.27,492.82,10,0.96,0,0.0,0.0
Bandi-Solanki,27,836,51.05,46.24,5,-0.33,0,0.0,0.0
Tailor LLC,9,671,459.51,824.38,0,-0.37,0,0.0,0.0
"Balakrishnan, Patil and Jha",24,525,410.53,441.72,0,0.44,0,0.0,0.0
Balakrishnan Group,35,845,177.23,175.47,0,0.68,1,32.48,8.78
Agarwal-Mistry,15,588,67.5,69.88,0,0.71,0,0.0,0.0
Keer Group,1,490,173.49,186.2,1,-0.18,0,0.0,0.0
Cherian-Batta,14,759,120.22,127.61,2,-1.0,0,0.0,0.0
Kohli Group,27,653,226.29,224.5,5,-0.78,0,0.0,0.0
Bakshi PLC,20,580,213.61,193.41,5,0.65,0,0.0,0.0
Devi-Rege,19,583,13.91,8.6,0,0.75,0,0.0,0.0
Sha Group,14,419,353.32,356.2,0,-0.4,0,0.0,0.0
Master LLC,11,633,372.88,339.18,0,0.78,1,40.2,9.84
"Oza, Rajagopalan and Madan",16,776,419.89,401.86,0,0.32,1,60.72,9.12
Pau PLC,37,500,455.27,470.68,0,-0.14,0,0.0,0.0
"Bali, Datta and Kaur",12,737,220.13,232.19,0,0.26,1,39.77,9.31
Chakrabarti Group,29,478,122.53,122.83,0,0.9,0,0.0,0.0
"Sarin, Chauhan and Babu",34,646,373.08,373.55,0,-0.06,1,41.44,9.77
Doshi-Sami,8,766,142.02,155.41,0,-0.44,1,22.58,9.17
Kale and Sons,13,348,8.79,8.3,1,0.14,0,0.0,0.0
Nayak-Choudhary,42,662,26.97,17.4,0,0.76,0,0.0,0.0
Bandi-Madan,41,850,249.31,259.4,0,-0.16,1,46.82,8.75
Dalal LLC,8,408,305.91,197.97,0,0.27,0,0.0,0.0
Doctor Inc,23,730,34.46,35.18,0,-0.26,1,4.63,9.35
"Ravi, Batta and Handa",28,383,450.66,442.03,0,0.29,0,0.0,0.0
Kothari-Bhakta,11,565,253.57,235.26,0,0.48,0,0.0,0.0
Bava-Chandran,29,686,269.31,250.03,0,0.15,1,29.42,9.57
Shankar Ltd,21,873,281.53,174.2,0,-0.14,0,0.0,0.0
Shetty LLC,35,728,141.31,135.84,1,0.72,1,26.55,9.36
Gera-Cherian,23,659,445.38,401.94,0,0.02,1,49.02,9.71
Mital LLC,7,495,27.17,28.59,0,-0.99,0,0.0,0.0
"Rao, Chaudhari and Gola",47,778,396.9,404.52,1,0.16,1,72.02,9.11
"Majumdar, Sinha and Vig",31,687,87.84,96.13,0,-0.8,0,0.0,0.0
Ramachandran and Sons,46,662,197.05,183.65,0,0.8,1,21.83,9.69
"Natarajan, Parekh and Choudhury",42,423,160.41,274.84,0,0.92,0,0.0,0.0
Bandi-Kata,17,408,485.52,512.08,0,-0.51,0,0.0,0.0
"Balakrishnan, Bala and Kibe",23,853,414.27,431.59,0,0.66,1,83.64,8.73
Randhawa LLC,1,579,499.86,464.92,1,-0.4,0,0.0,0.0
"Goda, Maharaj and Pal",22,464,366.75,607.13,0,0.19,0,0.0,0.0
Sinha-Wali,34,566,179.96,178.47,0,0.36,0,0.0,0.0
Kannan PLC,41,857,22.06,24.13,1,-0.02,1,4.14,8.71
Sibal-Borah,36,401,263.61,422.53,0,0.45,0,0.0,0.0
Patil-Parekh,14,381,224.51,229.1,10,-0.88,0,0.0,0.0
Sura Ltd,45,636,424.25,457.6,0,0.25,1,78.46,9.82
"Manne, Gole and Ravi",16,413,241.04,250.09,0,-0.28,0,0.0,0.0
"Madan, Pal and Morar",2,846,109.3,119.3,1,-0.41,1,16.98,10.27
"Patil, Doctor and Dhingra",1,591,417.9,438.0,0,0.53,0,0.0,0.0
Kade-Walla,36,846,308.73,283.33,0,-0.87,0,0.0,0.0
Shetty-Nazareth,35,883,59.94,80.09,0,-0.4,0,0.0,0.0
"Iyer, Dhaliwal and Gola",40,674,421.83,400.08,0,-0.58,0,0.0,0.0
"Chahal, Koshy and Bala",34,594,203.65,195.2,0,0.68,0,0.0,0.0
"Krishna, Din and Rout",17,532,113.54,102.95,0,0.44,0,0.0,0.0
Mahal-Kari,32,745,229.7,244.47,0,-0.53,0,0.0,0.0
Mittal PLC,24,321,283.83,262.26,0,0.76,0,0.0,0.0
"Balakrishnan, Kadakia and Shroff",34,374,139.42,136.7,1,0.19,0,0.0,0.0
Ramanathan-Sastry,17,642,293.72,291.78,3,0.65,0,0.0,0.0
"Babu, Wali and Sarkar",43,436,422.14,406.38,2,-0.25,0,0.0,0.0
Halder Inc,12,720,62.43,35.55,0,-0.72,0,0.0,0.0
Kaul Ltd,21,534,334.86,366.07,0,-0.79,0,0.0,0.0
Kalita Inc,19,592,28.85,28.04,0,-0.58,0,0.0,0.0
Kalita-Chawla,14,526,188.06,118.53,2,-0.58,0,0.0,0.0
Soman PLC,9,465,238.78,256.93,0,-0.73,0,0.0,0.0
Padmanabhan Ltd,7,573,369.86,404.97,0,-0.83,0,0.0,0.0
Rege-Mittal,43,526,335.1,356.77,0,-0.52,0,0.0,0.0
Toor LLC,38,697,209.75,209.45,0,-0.07,1,39.96,9.52
Shere Group,26,529,382.34,378.89,2,0.15,0,0.0,0.0
"Chowdhury, Mittal and Kade",42,474,404.54,373.81,1,0.04,0,0.0,0.0
Reddy LLC,12,827,286.21,295.54,0,0.66,1,57.2,8.87
"Walia, Pathak and Toor",8,344,202.01,194.05,0,0.49,0,0.0,0.0
Grewal Inc,23,517,293.19,321.93,0,0.12,0,0.0,0.0
Barman and Sons,22,532,106.47,62.38,0,-0.45,0,0.0,0.0
Pandya LLC,13,755,319.8,312.65,2,-0.42,1,51.67,9.22
Menon-Rajan,47,458,355.32,324.21,0,-0.73,0,0.0,0.0
Sachdeva PLC,38,314,180.36,290.46,1,0.09,0,0.0,0.0
Ravel and Sons,46,522,26.73,24.94,1,0.96,0,0.0,0.0
Dayal-Tella,13,349,427.62,598.01,10,0.42,0,0.0,0.0
"Balay, Soman and Konda",26,745,286.92,273.12,0,0.96,1,38.21,9.28
"Mangat, Mitra and Som",29,870,180.75,321.09,0,0.71,0,0.0,0.0
"Agrawal, Varma and Solanki",30,651,158.45,267.89,1,0.71,0,0.0,0.0
Choudhry Inc,44,436,418.53,214.75,0,0.62,0,0.0,0.0
Mand-Mane,40,621,259.77,275.79,2,-1.0,0,0.0,0.0
"Pal, Ganguly and Balay",36,564,81.13,89.08,0,0.27,0,0.0,0.0
Boase Inc,20,658,290.68,282.37,0,0.31,1,35.93,9.71
Nath Ltd,26,703,55.39,55.46,0,0.73,1,7.72,9.48
Roy Ltd,29,879,292.9,289.19,0,-0.29,1,67.62,8.61
"Bedi, Naik and Sarma",7,453,446.82,439.62,0,0.18,0,0.0,0.0
Bahl-Deol,41,667,169.12,181.13,3,0.01,0,0.0,0.0
Mukherjee-Kota,3,666,406.38,433.67,0,-0.7,0,0.0,0.0
"Master, Karan and Lala",49,770,27.47,26.32,0,0.18,1,3.52,9.15
Thakur Ltd,6,656,362.95,341.21,2,-0.9,0,0.0,0.0
"Sethi, Saraf and Mallick",4,337,367.2,377.53,2,0.64,0,0.0,0.0
Verma Ltd,48,710,139.36,128.92,0,0.52,1,20.77,9.45
Grewal and Sons,8,571,43.84,44.23,0,0.9,0,0.0,0.0
Singh and Sons,10,804,184.05,200.59,1,0.42,1,29.96,8.98
Natt Group,17,788,227.16,103.14,0,-0.75,0,0.0,0.0
Shanker-Das,17,717,404.5,593.73,2,0.4,0,0.0,0.0
"Choudhry, Chopra and Dayal",12,474,220.49,222.66,0,0.81,0,0.0,0.0
"Chanda, Raghavan and Singh",49,342,420.3,379.23,0,0.41,0,0.0,0.0
"Borah, Saxena and Mitter",19,467,30.58,30.61,1,0.11,0,0.0,0.0
Srinivasan-Babu,12,891,70.2,75.33,2,0.35,1,17.13,8.54
"Dhingra, Verma and Loke",7,505,314.31,318.82,0,-0.9,0,0.0,0.0
Sane-Sem,49,311,147.38,141.68,1,-0.19,0,0.0,0.0
Bora-Dubey,33,617,46.54,44.99,0,0.96,1,7.05,9.91
Kota Ltd,7,890,62.51,100.05,0,0.88,0,0.0,0.0
Natarajan-Dhar,41,868,10.68,10.57,5,0.11,0,0.0,0.0
"Raghavan, Sawhney and Virk",18,773,293.18,275.85,0,0.48,1,50.48,9.13
Chana-Acharya,24,885,346.44,480.18,0,-0.14,0,0.0,0.0
